"Entity Name","Alternative Form of Name","Project ID","LOD ID","Entity Location","Entity Location - Object ID",Entity_Acronym,"[Related Entity] Sub-Object ID","[Related Entity] Sub Entity","[Related Entity] Sub Entity - Object ID","[Related Entity] Main Entity","[Related Entity] Main Entity - Object ID","[Related Entity] Affiliated Entity","[Related Entity] Affiliated Entity - Object ID","[Located] Sub-Object ID","[Located] Location Reference","[Located] Location Reference - Object ID","[Located] Geometry","[Located] Located"
"Biuro Informacji Prasowej KKP NSZZ ""Solidarność""",,00208,,,,,16407303,,,,,,,16405721,,,,Gdańsk
"Biuro Informacji Prasowej Komisji Krajowej NSZZ ""Solidarność""",,00209,,,,,16407304,,,,,,,16405722,,,,Gdańsk
"Biuro Informacji Regionu Śląsko-Dąbrowskiego NSZZ ""Solidarność""",,00210,,,,,16407305,,,,,,,16405723,,,,Katowice
"Biuro Informacyjne ""Solidarność"" Region Małopolska",,00211,,,,,16407306,,,,,,,16405724,,,,Kraków
"Biuro Prasowe MKZ [Międzyzakładowego Komitetu Założycielskiego] ""Wielkopolska""",,00212,,,,,16407307,,,,,,,16405725,,,,Poznań
"Biuro Prasowe MKZ [Międzyzakładowego Komitetu Założycielskiego] Wielkopolska",,00213,,,,,16407308,,,,,,,16405726,,,,Poznań
"BŁ [Biuletyn Łódzki]",,00214,,,,,16407309,,,,,,,16405727,,,,Łódź
"BNOW-UKOS-II|BNOW-UKOS-II [Bydgoska Niezależna Oficyna Wydawnicza Uczniowskiego Komitetu Oporu Społecznego]|BNOW UKOS II - Bydgoska Niezależna Oficyna Wydawnicza Uczniowskiego Komitetu Oporu Społecznego",,00215,,,,,16407310,,,,,,,16405728,,,,Bydg.|Bydgoszcz
Bok,,00216,,,,,16407311,,,,,,,16405729,,,,Warszawa
"BON-Biblioteka Oświaty Narodowej",,00217,,,,,16407312,,,,,,,16405730,,,,Warszawa
"BOW [Białostocka Oficyna Wydawnicza]",,00218,,,,,16407313,,,,,,,16405731,,,,Białystok
"Bóg i Ojczyzna",,00219,,,,,16407314,,,,,,,16405732,,,,Warszawa
BPEP,,00220,,,,,16407315,,,,,,,16405733,,,,Warszawa
"Bractwo Świętego Kazimierza przy Kościele Ojców Jezuitów",,00221,,,,,16407316,,,,,,,16405734,,,,Łódź
Brama,,00222,,,,,16407317,,,,,,,16405735,,,,Warszawa
Braterstwo,,00223,,,,,16407318,,,,,,,16405736,,,,Gdańsk
Brzask,,00224,,,,,16407319,,,,,,,16405737,,,,Warszawa
"Bydgoska ""Sowa""",,00225,,,,,16407320,,,,,,,16405738,,,,Bydgoszcz
"Bydgoska Inicjatywa Wydawnicza",,00226,,,,,16407321,,,,,,,16405739,,,,Bydgoszcz
"Bydgoska Oficyna Wydawnicza",,00227,,,,,16407322,,,,,,,16405740,,,,Bydgoszcz
"C. A. H.",,00228,,,,,16407323,,,,,,,16405741,,,,Wrocław
c...N,,00229,,,,,16407324,,,,,,,16405742,,,,Warszawa
Catacumbus,,00230,,,,,16407325,,,,,,,16405743,,,,Bydgoszcz
Catena,,00231,,,,,16407326,,,,,,,16405744,,,,Warszawa
CD,,00232,,,,,16407327,,,,,,,16405745,,,,Kraków
CDiA,,00233,,,,,16407328,,,,,,,16405746,,,,Warszawa
CDN,,00234,,,,,16407329,,,,,,,16405747,,,,Warszawa
CDN,,00235,,,,,16407330,,,,,,,16405748,,,,Przemyśl
CDN,,00236,,,,,16407331,,,,,,,16405749,,,,Poznań
"CDN (nakladatelství)",,00237,,,,,16407332,,,,,,,,,,,
"CDN [Lublin] Komitywa|""CDN"" przy współpr. ""Komitywa"" [w Lublinie]",,00238,,,,,16407333,,,,,,,16405750,,,,Warszawa
Cel,,00239,,,,,16407334,,,,,,,16405751,,,,Warszawa
"Centralny Wydział Zawodowy PPS [Polskiej Partii Socjalistycznej]",,00240,,,,,16407335,,,,,,,16405752,,,,Warszawa
