REV,group_id,Entity_Name,Entity Acronym,Alternative_form_of_name,alt_name_vol_2,Related_Entity_Sub_Entity,Related_Entity_Main_Entity,Located_Location,Grouped,entity_as_author,simple_name_loc
y,120,KZ NSZZ Solidarność przy Wyższej Szkole Morskiej w Gdyni,KZ NSZZ Solidarność WSM,"KZ NSZZ [Komisja Zakładowa Niezależnego Samorządnego Związku Zawodowego] ""S"" WSM [Wyższej Szkoły Morskiej]",,,2004|2011,Gdynia,bn_books-210-%c-35082,,kznszzkomisjazakładowaniezależnegosamorządnegozwiązkuzawodowegoswsmwyższejszkołymorskiej|gdynia
Y,120,KZ NSZZ Solidarność przy Wyższej Szkole Morskiej w Gdyni,KZ NSZZ Solidarność WSM,"Zakładowa NSZZ ""Solidarność"" przy Wyższej Szkole Morskiej w Gdyni",,,2004|2011,Gdynia,pbl_books-nan-publishing_house-1396882,,drukzpgakomisjazakładowanszzsolidarnośćprzywyższejszkolemorskiejwgdyni|gdynia
Y,120,KZ NSZZ Solidarność przy Wyższej Szkole Morskiej w Gdyni,KZ NSZZ Solidarność WSM,"Komisja Zakładowa NSZZ [Niezależnego Samorządnego Związku Zawodowego] ""Solidarność"" przy Wyższej Szkole Morskiej",,,2004|2011,Gdynia,bn_books-225-%f-90758,,komisjazakładowanszzniezależnegosamorządnegozwiązkuzawodowegosolidarnośćprzywyższejszkolemorskiej
Y,120,KZ NSZZ Solidarność przy Wyższej Szkole Morskiej w Gdyni,KZ NSZZ Solidarność WSM,"Komisja Zakładowa NSZZ [Niezależnego Samorządnego Związku Zawodowego] ""Solidarność"" przy Wyższej Szkole Morskiej w Gdyni",,,2004|2011,Gdynia,bn_books-225-%f-25615|bn_books-225-%f-48781|bn_books-225-%f-62999,,komisjazakładowanszzniezależnegosamorządnegozwiązkuzawodowegosolidarnośćprzywyższejszkolemorskiejwgdyni
Y,120,KZ NSZZ Solidarność przy Wyższej Szkole Morskiej w Gdyni,KZ NSZZ Solidarność WSM,"Komisja Zakładowa NSZZ ""Solidarność"" przy WSM",,,2004|2011,Gdynia,bn_books-210-%c-62999,,komisjazakładowanszzsolidarnośćprzywsm|gdynia
Y,120,KZ NSZZ Solidarność przy Wyższej Szkole Morskiej w Gdyni,KZ NSZZ Solidarność WSM,"KZ NSZZ ""Solidarność"" przy WSM",,,,Gdynia,bn_books-210-%c-25615|bn_books-210-%c-48781|bn_books-210-%c-90758,,kznszzsolidarnośćprzywsm|gdynia
y,123,BIS Biuro Informacji Studenckiej Zrzeszenia Studentów Polskich,,BIS [Biuro Informacji Studenckiej] Zrzeszenia Studentów Polskich,,,,Warszawa,bn_books-210-%c-94531,,bisbiuroinformacjistudenckiejzrzeszeniastudentówpolskich|warszawa
y,124,Bis,,"""Bis""",,,,Warszawa,bn_books-210-%c-53600|bn_books-210-%c-53618|bn_books-210-%c-101663,,bis|warszawa
y,125,BiS,,BiS,,,,Wrocław,bn_books-210-%c-59469|bn_books-210-%c-68466,,bis|wrocław
y,126,Biuletyn Centralny,,Biuletyn Centralny,,,,Wrocław,bn_books-210-%c-17158,,biuletyncentralny|wrocław
y,127,Biuletyn Oporu,,"""Biuletyn Oporu""",,,,Warszawa,bn_books-210-%c-17945|bn_books-210-%c-104491,,biuletynoporu|warszawa
y,128,Biuletyn Łódzki,BŁ,BŁ [Biuletyn Łódzki],,,,Łódź,bn_books-210-%c-3496,,błbiuletynłódzki|łódź
y,128,Biuletyn Łódzki,BŁ,"""Biuletyn Łódzki""|[""Biuletyn Łódzki""]|[Biuletyn Łódzki]",,,,Łódź,bn_books-210-%c-52075|bn_books-210-%c-66053|bn_books-210-%c-72116|bn_books-210-%c-18024,,biuletynłódzki|łódź
Y,129,Biuro do spraw Szkolenia Komisji Krajowej NSZZ Solidarność,,"Biuro ds. [do spraw] Szkolenia Komisji Krajowej NSZZ [Niezależnego Samorządnego Zawiązku Zawodowego] ""Solidarność""",,,2004|2042,S. l.,bn_books-210-%c-65697,,biurodsdosprawszkoleniakomisjikrajowejnszzniezależnegosamorządnegozawiązkuzawodowegosolidarność|sl
Y,132,Biuro Informacji Regionu Śląsko-Dąbrowskiego NSZZ Solidarność,,"Biuro Informacji Regionu Śląsko-Dąbrowskiego NSZZ ""Solidarność""",,,2004|2029,Katowice,bn_books-210-%c-67103,,biuroinformacjiregionuśląskodąbrowskiegonszzsolidarność|katowice
Y,133,Biuro Informacyjne Solidarność Region Małopolska,,"Biuro Informacyjne ""Solidarność"" Region Małopolska",,,2004|2017,Kraków,bn_books-210-%c-17286,,biuroinformacyjnesolidarnośćregionmałopolska|kraków
y,139,Bydgoska Niezależna Oficyna Wydawnicza Uczniowskiego Komitetu Oporu Społecznego,BNOW-UKOS-II,BNOW-UKOS-II,,,,Bydgoszcz,bn_books-210-%g-81679,,bnowukosii|bydg
y,139,Bydgoska Niezależna Oficyna Wydawnicza Uczniowskiego Komitetu Oporu Społecznego,BNOW-UKOS-II,BNOW UKOS II - Bydgoska Niezależna Oficyna Wydawnicza Uczniowskiego Komitetu Oporu Społecznego|BNOW-UKOS-II [Bydgoska Niezależna Oficyna Wydawnicza Uczniowskiego Komitetu Oporu Społecznego,,,,Bydgoszcz,bn_books-210-%c-81669|bn_books-210-%c-81679,,bnowukosiibydgoskaniezależnaoficynawydawniczauczniowskiegokomitetuoporuspołecznego|bydgoszcz
y,141,Bok,,"""Bok""",,,,Warszawa,bn_books-210-%c-1090|bn_books-210-%c-63460,,bok|warszawa
Y,143,Białostocka Oficyna Wydawnicza,BOW,BOW [Białostocka Oficyna Wydawnicza],,,,Białystok,bn_books-210-%c-23975,,bowbiałostockaoficynawydawnicza|białystok
Y,143,Białostocka Oficyna Wydawnicza,BOW,Białostocka Oficyna Wydawnicza,,,,Białystok,bn_books-210-%c-7127|bn_books-210-%c-26500|bn_books-210-%c-32361|bn_books-210-%c-39232|bn_books-210-%c-46962|bn_books-210-%c-47069|bn_books-210-%c-49392|bn_books-210-%c-56677|bn_books-210-%c-69155|bn_books-210-%c-85874,,białostockaoficynawydawnicza|białystok
Y,144,BPEP,,BPEP,,,,Warszawa,bn_books-210-%c-104949,,bpep|warszawa
Y,145,Bractwo Świętego Kazimierza przy Kościele Ojców Jezuitów,,Bractwo Świętego Kazimierza przy Kościele Ojców Jezuitów],,,,Łódź,bn_books-210-%c-17099,,bractwoświętegokazimierzaprzykościeleojcówjezuitów|łódź
Y,146,Brama,,"""Brama""",,,,Warszawa,bn_books-210-%c-38510|bn_books-210-%c-39304,,brama|warszawa
Y,147,Braterstwo,,"""Braterstwo""",,,,Gdańsk,bn_books-210-%c-25746|bn_books-210-%c-71202,,braterstwo|gdańsk
