Wikidata_ID,name_en,name_pl
https://www.wikidata.org/wiki/Q10774753,performance artist,performer
https://www.wikidata.org/wiki/Q486748,pianist,pianista
https://www.wikidata.org/wiki/Q186360,nurse,pielęgniarz
https://www.wikidata.org/wiki/Q2095549,aircraft pilot,pilot
https://www.wikidata.org/wiki/Q618694,fighter pilot,pilot myśliwski
https://www.wikidata.org/wiki/Q177220,singer,piosenkarz
https://www.wikidata.org/wiki/Q488205,singer-songwriter,piosenkarz i autor piosenek
https://www.wikidata.org/wiki/Q4853732,children's writer,pisarz dziecięcy
https://www.wikidata.org/wiki/Q15958642,political writer,pisarz polityczny
https://www.wikidata.org/wiki/Q18844224,science fiction writer,pisarz science-fiction
https://www.wikidata.org/wiki/Q739437,poster artist,plakacista
https://www.wikidata.org/wiki/Q49757,poet,poeta
https://www.wikidata.org/wiki/Q1238570,political scientist,politolog
https://www.wikidata.org/wiki/Q82955,politician,polityk
https://www.wikidata.org/wiki/Q20179720,polonist,polonista
https://www.wikidata.org/wiki/Q6625963,novelist,powieściopisarz
https://www.wikidata.org/wiki/Q13638192,obstetrician,położnik
https://www.wikidata.org/wiki/Q185351,jurist,prawnik
https://www.wikidata.org/wiki/Q16012028,legal scholar,prawoznawca
https://www.wikidata.org/wiki/Q23035816,presbyter,prezbiter
https://www.wikidata.org/wiki/Q2722764,radio personality,prezenter radiowy
https://www.wikidata.org/wiki/Q947873,television presenter,prezenter telewizyjny
https://www.wikidata.org/wiki/Q52769526,parochus,proboszcz
https://www.wikidata.org/wiki/Q3282637,film producer,producent filmowy
https://www.wikidata.org/wiki/Q3922505,music producer,producent muzyczny
https://www.wikidata.org/wiki/Q25339110,full professor,profesor
https://www.wikidata.org/wiki/Q5482740,programmer,programista
https://www.wikidata.org/wiki/Q5322166,designer,projektant
https://www.wikidata.org/wiki/Q42857,prophet,prorok
https://www.wikidata.org/wiki/Q12144794,prosaist,prozaik
https://www.wikidata.org/wiki/Q131524,entrepreneur,przedsiębiorca
https://www.wikidata.org/wiki/Q15995642,religious leader,przywódca religijny
https://www.wikidata.org/wiki/Q13424456,hymnwriter,psalmista
https://www.wikidata.org/wiki/Q211346,psychiatrist,psychiatra
https://www.wikidata.org/wiki/Q3410028,psychoanalyst,psychoanalityk
https://www.wikidata.org/wiki/Q212980,psychologist,psycholog
https://www.wikidata.org/wiki/Q1900167,psychotherapist,psychoterapeuta
https://www.wikidata.org/wiki/Q6051619,opinion journalist,publicysta
https://www.wikidata.org/wiki/Q133485,rabbi,rabin
https://www.wikidata.org/wiki/Q1939892,amateur radio operator,radioamator
https://www.wikidata.org/wiki/Q876864,contributing editor,redaktor
https://www.wikidata.org/wiki/Q17351648,newspaper editor,redaktor gazety
https://www.wikidata.org/wiki/Q19829980,religious studies scholar,religioznawca
https://www.wikidata.org/wiki/Q42909,reporter,reporter
https://www.wikidata.org/wiki/Q3242115,revolutionary,rewolucjonista
https://www.wikidata.org/wiki/Q3455803,director ,reżyser
https://www.wikidata.org/wiki/Q2526255,film director,reżyser filmowy
https://www.wikidata.org/wiki/Q3387717,theatrical director,reżyser teatralny
https://www.wikidata.org/wiki/Q2059704,television director,reżyser telewizyjny
https://www.wikidata.org/wiki/Q131512,farmer,rolnik
https://www.wikidata.org/wiki/Q2504617,romanist,romanista
https://www.wikidata.org/wiki/Q15296811,drawer,rysownik
https://www.wikidata.org/wiki/Q11569986,printmaker,rytownik
https://www.wikidata.org/wiki/Q1294787,artisan,rzemieślnik
https://www.wikidata.org/wiki/Q1281618,sculptor,rzeźbiarz
https://www.wikidata.org/wiki/Q9334029,satirist,satyryk
https://www.wikidata.org/wiki/Q28389,screenwriter,scenarzysta
https://www.wikidata.org/wiki/Q2707485,scenographer,scenograf
https://www.wikidata.org/wiki/Q80687,secretary,sekretarz
https://www.wikidata.org/wiki/Q595094,sister,siostra
https://www.wikidata.org/wiki/Q15976341,slavicist,slawista
