group_id,Entity_Name,Entity Acronym,Alternative_form_of_name,Related_Entity_Sub_Entity,Related_Entity_Main_Entity,Located_Location,Grouped,entity_as_author,simple_name_loc
1206,[unknown publisher],,s n.|s.n.|s. n.,,,Kraków,bn_books-210-%c-29880|bn_books-210-%c-60251|bn_books-210-%c-84816|bn_books-210-%c-21714|bn_books-210-%c-56571|bn_books-210-%c-33521|bn_books-210-%c-261|bn_books-210-%c-3067|bn_books-210-%c-44487|bn_books-210-%c-8711|bn_books-210-%c-55419|bn_books-210-%c-61286|bn_books-210-%c-68644|bn_books-210-%c-29931|bn_books-210-%c-12784|bn_books-210-%c-52064|bn_books-210-%c-54097|bn_books-210-%c-61055|bn_books-210-%c-56954|bn_books-210-%c-25986|bn_books-210-%c-40589|bn_books-210-%c-22663|bn_books-210-%c-106857|bn_books-210-%c-51676|bn_books-210-%c-94053|bn_books-210-%c-78523|bn_books-210-%c-55474|bn_books-210-%c-106668|bn_books-210-%c-33158|bn_books-210-%c-100478|bn_books-210-%c-61142|bn_books-210-%c-29870|bn_books-210-%c-51892|bn_books-210-%c-12611|bn_books-210-%c-58193|bn_books-210-%c-36308|bn_books-210-%c-101028|bn_books-210-%c-4450|bn_books-210-%c-8674|bn_books-210-%c-24499|bn_books-210-%c-30889|bn_books-210-%c-105200|bn_books-210-%c-97204|bn_books-210-%c-96898|bn_books-210-%c-101039|bn_books-210-%c-79759|bn_books-210-%c-27475|bn_books-210-%c-63600|bn_books-210-%c-24383|bn_books-210-%c-20334|bn_books-210-%c-29900|bn_books-210-%c-54895|bn_books-210-%c-66358|bn_books-210-%c-70429|bn_books-210-%c-84802|bn_books-210-%c-59179|bn_books-210-%c-83437|bn_books-210-%c-38957|bn_books-210-%c-32804|bn_books-210-%c-19940|bn_books-210-%c-33541|bn_books-210-%c-73544|bn_books-210-%c-17923|bn_books-210-%c-44838|bn_books-210-%c-61308|bn_books-210-%c-44856|bn_books-210-%c-61271|bn_books-210-%c-66341|bn_books-210-%c-29826|bn_books-210-%c-29836|bn_books-210-%c-94016|bn_books-210-%c-91796|bn_books-210-%c-30164|bn_books-210-%c-66376|bn_books-210-%c-105427|bn_books-210-%c-109265|bn_books-210-%c-31197|bn_books-210-%c-28698|bn_books-210-%c-110181|bn_books-210-%c-17818|bn_books-210-%c-59929|bn_books-210-%c-10118|bn_books-210-%c-17367|bn_books-210-%c-44847|bn_books-210-%c-36796|bn_books-210-%c-54350|bn_books-210-%c-64616|bn_books-210-%c-84217|bn_books-210-%c-24064|bn_books-210-%c-73060|bn_books-210-%c-69793|bn_books-210-%c-27875|bn_books-210-%c-40383|bn_books-210-%c-101439|bn_books-210-%c-29910|bn_books-210-%c-66389|bn_books-210-%c-90133|bn_books-210-%c-17909|bn_books-210-%c-95016|bn_books-210-%c-81824|bn_books-210-%c-46949|bn_books-210-%c-95300|bn_books-210-%c-30901|bn_books-210-%c-52055|bn_books-210-%c-68913|bn_books-210-%c-59594|bn_books-210-%c-97886|bn_books-210-%c-66327|bn_books-210-%c-17806|bn_books-210-%c-79106|bn_books-210-%c-18719|bn_books-210-%c-4243|bn_books-210-%c-419|bn_books-210-%c-93985|bn_books-210-%c-85887|bn_books-210-%c-2713|bn_books-210-%c-15041|bn_books-210-%c-80137|bn_books-210-%c-53833|bn_books-210-%c-27800|bn_books-210-%c-24227|bn_books-210-%c-55309|bn_books-210-%c-29920|bn_books-210-%c-29947|bn_books-210-%c-51084|bn_books-210-%c-44501|bn_books-210-%c-27728|bn_books-210-%c-33697|bn_books-210-%c-32455|bn_books-210-%c-74894|bn_books-210-%c-74716|bn_books-210-%c-6142|bn_books-210-%c-29890|bn_books-210-%c-57182|bn_books-210-%c-80119|bn_books-210-%c-66310|bn_books-210-%c-52590|bn_books-210-%c-11762|bn_books-210-%c-106867|bn_books-210-%c-4725|bn_books-210-%c-20624|bn_books-210-%c-63616|bn_books-210-%c-83776|bn_books-210-%c-18761,,kraków|sn
1207,[unknown publisher],,s. n.,,,Kwidzyn,bn_books-210-%c-79710,,kwidzyn|sn
1208,[unknown publisher],,s. n.,,,Lublin,bn_books-210-%c-31224|bn_books-210-%c-64392|bn_books-210-%c-99135|bn_books-210-%c-6824|bn_books-210-%c-94238|bn_books-210-%c-94773|bn_books-210-%c-37455|bn_books-210-%c-29124|bn_books-210-%c-70914|bn_books-210-%c-94227,,lublin|sn
1209,[unknown publisher],,s. n.,,,Miejsce Piastowe,bn_books-210-%c-64089,,miejscepiastowe|sn
1210,[unknown publisher],,s. n.,,,Nowa Huta,bn_books-210-%c-91874,,nowahuta|sn
1211,[unknown publisher],,s. n.,,,Olsztyn,bn_books-210-%c-36745,,olsztyn|sn
1212,[unknown publisher],,s. n.,,,Opole,bn_books-210-%c-85703,,opole|sn
1213,[unknown publisher],,s. n.,,,Oświęcim,bn_books-210-%c-103341,,oświęcim|sn
1214,[unknown publisher],,s.n.|s. n.,,,Poznań,bn_books-210-%c-61740|bn_books-210-%c-100449|bn_books-210-%c-55700|bn_books-210-%c-51629|bn_books-210-%c-20528|bn_books-210-%c-4834|bn_books-210-%c-53933|bn_books-210-%c-77120|bn_books-210-%c-91000|bn_books-210-%c-76588|bn_books-210-%c-11007|bn_books-210-%c-84864|bn_books-210-%c-98812|bn_books-210-%c-66671|bn_books-210-%c-55688|bn_books-210-%c-29455|bn_books-210-%c-2839|bn_books-210-%c-110657|bn_books-210-%c-106621|bn_books-210-%c-57817|bn_books-210-%c-33723|bn_books-210-%c-30023|bn_books-210-%c-39703|bn_books-210-%c-2316|bn_books-210-%c-13708,,poznań|sn
1215,[unknown publisher],,s. n.,,,Poznań|Kraków,bn_books-210-%c-85934,,poznańkraków|sn
1216,[unknown publisher],,s. n.,,,Radom,bn_books-210-%c-5872|bn_books-210-%c-104712,,radom|sn
1217,[unknown publisher],,s. n.,,,etc.|Warszawa|Roma,bn_books-210-%c-31050,,romawarszawaetc|sn
1218,[unknown publisher],,s. n.,,,Rzeszów,bn_books-210-%c-70178,,rzeszów|sn
1219,[unknown publisher],,s. n.,,,Siedlce,bn_books-210-%c-31835|bn_books-210-%c-55648,,siedlce|sn
